Date,Portfolio_Return,Regime,Market_Return,Cumulative_Portfolio,Cumulative_Market,Portfolio_Return_Net,Cumulative_Portfolio_Net
2010-08-31,0.16030244931254606,Volatile,-0.0476999999999999,1.160302449312546,0.9523000000000001,0.15930244931254606,1.1593024493125461
2010-09-30,0.08594318257559226,Volatile,0.0955,1.260022534556721,1.04324465,0.08494318257559226,1.2577772889248329
2010-10-31,0.055089450108061835,Volatile,0.0387,1.3294364831092171,1.083618217955,0.054089450108061835,1.3258097708411858
2010-11-30,0.026607996812252992,Volatile,0.0059,1.36481012481388,1.0900115654409346,0.02560799681225299,1.3597611032265406
2010-12-31,0.032572346514918964,Volatile,0.0682,1.4092651931263875,1.1643503542040063,0.03157234651491896,1.4026919519551173
2011-01-31,0.0513535089416276,Volatile,0.0197999999999999,1.4816359058227282,1.1874044912172455,0.0503535089416276,1.4733224137002383
2011-02-28,0.01658756392967381,Volatile,0.0348,1.5062126361310628,1.2287261675116055,0.015587563929673809,1.4962879210128122
2011-03-31,0.02819562319791078,Volatile,0.0046,1.5486812400753462,1.2343783078821589,0.02719562319791078,1.5369804035082617
2011-04-30,0.020427728744081608,Volatile,0.0289999999999999,1.5803172803586536,1.2701752788107414,0.019427728744081607,1.5668404418725894
2011-05-31,-0.01640920682842873,Volatile,-0.0127,1.5543855272507086,1.2540440527698449,-0.017409206828428732,1.5395629925528829
2011-06-30,-0.012200123108237242,Volatile,-0.0174,1.5354218324605877,1.2322236862516496,-0.013200123108237243,1.5192405715182986
2011-07-31,-0.04552615310359308,Volatile,-0.0235,1.4655199830373875,1.203266429624736,-0.04652615310359308,1.448556152086648
2011-08-31,-0.11929809597649173,Volatile,-0.0596,1.2906862394455267,1.1315517504191017,-0.12029809597649173,1.2742976050755908
2011-09-30,0.08035204754680376,Volatile,-0.0757,1.394395521525459,1.0458932829123757,0.07935204754680376,1.375415729222327
2011-10-31,0.0005164007415055683,Volatile,0.1134,1.3951155884067268,1.164497581194639,-0.0004835992584944317,1.3747505791955537
2011-11-30,-0.014347554125824835,Volatile,-0.0027,1.3750990919902792,1.1613534377254133,-0.015347554125824836,1.3536515202718409
2011-12-31,0.0597341736691411,Volatile,0.0075,1.4572394999635048,1.170063588508354,0.0587341736691411,1.4331571237509841
2012-01-31,0.05092598660407886,Volatile,0.0504999999999999,1.5314508592175806,1.2291517997280257,0.04992598660407886,1.504708907112916
2012-02-29,0.01388473055276015,Volatile,0.044,1.5527146417526096,1.2832344789160588,0.01288473055276015,1.5240966759414043
2012-03-31,-0.005926653462211678,Volatile,0.0311,1.54351224014524,1.323143071210348,-0.006926653462211678,1.5135397864242495
2012-04-30,-0.06425553553111168,Volatile,-0.0084,1.4443330345558818,1.3120286694121812,-0.06525553553111169,1.4147729371134905
2012-05-31,0.04175872470534743,Volatile,-0.0617,1.5046465401287399,1.2310765005094497,0.04075872470534743,1.472437277777875
2012-06-30,-0.027487785293525475,Volatile,0.039,1.4632871390910351,1.2790884840293182,-0.028487785293525476,1.4304908007503556
2012-07-31,0.07229030167216496,Volatile,0.0079,1.5690686078089253,1.2891932830531498,0.07129030167216496,1.532470921475105
2012-08-31,0.03130513656778611,Volatile,0.0254,1.6181885148606097,1.3219387924427,0.030305136567786106,1.5789126620365694
2012-09-30,-0.003489324677757166,Volatile,0.0273,1.6125421297424432,1.3580277214763858,-0.004489324677757166,1.5718244104588655
2012-10-31,0.02949668694194036,Volatile,-0.0176,1.6601067801241458,1.3341264335784015,0.02849668694194036,1.6166161986114116
2012-11-30,0.05873160014096407,Volatile,0.0078,1.7576075077257005,1.3445326197603131,0.05773160014096407,1.7099460385710508
2012-12-31,0.0628740003843172,Volatile,0.0118,1.868115322841925,1.3603981046734848,0.0618740003843172,1.8157472404187578
2013-01-31,0.0051207077779244605,Volatile,0.0557,1.8776813955056615,1.436172279103798,0.0041207077779244605,1.823229404195096
2013-02-28,0.05764644019963912,Volatile,0.0129,1.9859230437856534,1.4546989015042369,0.05664644019963912,1.9265088596100572
2013-03-31,-0.005023782849820335,Volatile,0.0403,1.9759461976572201,1.5133232672348575,-0.006023782849820335,1.9149039885815113
2013-04-30,0.08126239340792414,Volatile,0.0156,2.136516314924133,1.5369311102037213,0.08026239340792414,2.0685987658514438
2013-05-31,-0.03467696999984984,Volatile,0.0281,2.062428402767319,1.580118874400446,-0.03567696999984984,1.9947974297404354
2013-06-30,0.05911392765692856,Volatile,-0.012,2.184346646166101,1.5611574479076407,0.058113927656928556,2.110722943262598
2013-07-31,-0.0082801773494177,Volatile,0.0565,2.16625986854324,1.6493628437144223,-0.0092801773494177,2.0911350600136362
2013-08-31,0.08189871957054973,Volatile,-0.0271,2.3436737780339985,1.6046651106497614,0.08089871957054973,2.260305208817824
2013-09-30,0.038531705651459434,Volatile,0.0377,2.4339795261922483,1.6651609853212574,0.037531705651459434,2.3451383185976353
2013-10-31,0.026245067623972496,Volatile,0.0417,2.4978594834525283,1.734598198409154,0.025245067623972495,2.404341494038202
2013-11-30,0.01717781854465441,Volatile,0.0312,2.54076726040932,1.7887176621995196,0.01617781854465441,2.4432384944481353
2013-12-31,0.06396360266271181,Volatile,0.0279999999999999,2.7032838879125687,1.8388017567411057,0.06296360266271181,2.59707359222281
2014-01-31,0.06818454413034006,Volatile,-0.033,2.8876060674647808,1.7781212987686492,0.06718454413034006,2.771556797589244
2014-02-28,-0.01937183906646161,Volatile,0.0467999999999999,2.831667827438515,1.8613373755510219,-0.02037183906646161,2.715095088545198
2014-03-31,-0.009701619495210334,Volatile,0.0040999999999999,2.8041960636398775,1.8689688587907811,-0.010701619495210334,2.686039174014273
2014-04-30,0.007408647743368574,Volatile,-0.0019,2.824971364478726,1.8654178179590786,0.006408647743368574,2.703253052905419
2014-05-31,0.03581903696337309,Volatile,0.0204,2.92615911820346,1.9034723414454437,0.03481903696337309,2.797377720875884
2014-06-30,-0.014516162746618095,Volatile,0.0260999999999999,2.883682516221118,1.9531529695571699,-0.015516162746618094,2.75397315289501
2014-07-31,0.06685171909538912,Volatile,-0.0203,3.0764616497558177,1.9135039642751595,0.06585171909538912,2.9353270193556957
2014-08-31,-0.02236217391383901,Volatile,0.0424,3.0076652793047223,1.9946365323604263,-0.02336217391383901,2.8667513990355173
2014-09-30,0.034446869260816484,Volatile,-0.0196,3.111269931961229,1.955541656326162,0.033446869260816484,2.962635258282321
